iter	Logloss
338	0.4163759767
339	0.416182175
340	0.4160612163
341	0.4158128015
342	0.4155795321
343	0.415162257
344	0.4149887781
345	0.4147948988
346	0.4146524155
347	0.4144626029
348	0.4142663294
349	0.4140491141
350	0.4138650457
351	0.4137854083
352	0.4135913471
353	0.4131672358
354	0.4129599006
355	0.4126172708
356	0.4123403171
357	0.412114732
358	0.4119979011
359	0.4118631733
360	0.4116908437
361	0.4115814199
362	0.4113532067
363	0.4111093988
364	0.4108518079
365	0.4106329601
366	0.4103005831
367	0.4099852843
368	0.4098209154
369	0.4095867481
370	0.4092181582
371	0.4088342225
372	0.408581827
373	0.4082294572
374	0.4079774085
375	0.4079488077
376	0.4075858035
377	0.4073440252
378	0.4071524099
379	0.4070765048
380	0.4068982469
381	0.4065991737
382	0.4063321209
383	0.4060285892
384	0.405687022
385	0.4054568636
386	0.4052361128
387	0.4051029002
388	0.4050350519
389	0.4049290073
390	0.404735892
391	0.4045940144
392	0.4045265013
393	0.4043037367
394	0.4040687957
395	0.4038331241
396	0.4036404976
397	0.4035072658
398	0.4031897071
399	0.4029427587
